phenotype	variable_type	source	n_non_missing	n_missing	n_controls	n_cases
K25	categorical	icd10	361194	0	359360	1834
H90	categorical	icd10	361194	0	360912	282
K82	categorical	icd10	361194	0	360901	293
R39	categorical	icd10	361194	0	358496	2698
I72	categorical	icd10	361194	0	360975	219
I62	categorical	icd10	361194	0	360958	236
C48	categorical	icd10	361194	0	361072	122
L73	categorical	icd10	361194	0	360948	246
R05	categorical	icd10	361194	0	360210	984
N95	categorical	icd10	361194	0	354698	6496
R59	categorical	icd10	361194	0	360183	1011
T87	categorical	icd10	361194	0	361086	108
L91	categorical	icd10	361194	0	360579	615
S63	categorical	icd10	361194	0	360783	411
C44	categorical	icd10	361194	0	352108	9086
M50	categorical	icd10	361194	0	360319	875
N30	categorical	icd10	361194	0	359619	1575
I42	categorical	icd10	361194	0	360715	479
N10	categorical	icd10	361194	0	361070	124
N73	categorical	icd10	361194	0	360573	621
Z35	categorical	icd10	361194	0	361068	126
R73	categorical	icd10	361194	0	361025	169
E03	categorical	icd10	361194	0	361076	118
T85	categorical	icd10	361194	0	359693	1501
C81	categorical	icd10	361194	0	361044	150
D64	categorical	icd10	361194	0	357492	3702
M60	categorical	icd10	361194	0	361086	108
K44	categorical	icd10	361194	0	353152	8042
R06	categorical	icd10	361194	0	357068	4126
K01	categorical	icd10	361194	0	359751	1443
G61	categorical	icd10	361194	0	360988	206
J03	categorical	icd10	361194	0	360789	405
K42	categorical	icd10	361194	0	358666	2528
M80	categorical	icd10	361194	0	361019	175
N39	categorical	icd10	361194	0	350643	10551
K56	categorical	icd10	361194	0	359343	1851
C20	categorical	icd10	361194	0	360076	1118
O13	categorical	icd10	361194	0	360932	262
I33	categorical	icd10	361194	0	361061	133
H80	categorical	icd10	361194	0	360973	221
Q38	categorical	icd10	361194	0	361045	149
R31	categorical	icd10	361194	0	349911	11283
O00	categorical	icd10	361194	0	360950	244
M71	categorical	icd10	361194	0	360766	428
M15	categorical	icd10	361194	0	359930	1264
H69	categorical	icd10	361194	0	361075	119
G20	categorical	icd10	361194	0	360988	206
I25	categorical	icd10	361194	0	348425	12769
D32	categorical	icd10	361194	0	360867	327
O02	categorical	icd10	361194	0	360088	1106
N80	categorical	icd10	361194	0	359698	1496
N50	categorical	icd10	361194	0	359365	1829
S05	categorical	icd10	361194	0	361035	159
D21	categorical	icd10	361194	0	360815	379
H66	categorical	icd10	361194	0	360747	447
F05	categorical	icd10	361194	0	361088	106
K63	categorical	icd10	361194	0	353153	8041
R12	categorical	icd10	361194	0	360303	891
K76	categorical	icd10	361194	0	360618	576
T50	categorical	icd10	361194	0	360963	231
D25	categorical	icd10	361194	0	355687	5507
D35	categorical	icd10	361194	0	360624	570
D30	categorical	icd10	361194	0	361079	115
D23	categorical	icd10	361194	0	358109	3085
R68	categorical	icd10	361194	0	361089	105
J36	categorical	icd10	361194	0	360856	338
E66	categorical	icd10	361194	0	360841	353
N41	categorical	icd10	361194	0	360351	843
J93	categorical	icd10	361194	0	360886	308
I61	categorical	icd10	361194	0	360701	493
R54	categorical	icd10	361194	0	361073	121
H02	categorical	icd10	361194	0	356900	4294
C25	categorical	icd10	361194	0	360791	403
M24	categorical	icd10	361194	0	359926	1268
S31	categorical	icd10	361194	0	361094	100
K26	categorical	icd10	361194	0	359903	1291
T88	categorical	icd10	361194	0	360990	204
F99	categorical	icd10	361194	0	361076	118
D36	categorical	icd10	361194	0	360690	504
J01	categorical	icd10	361194	0	361082	112
G93	categorical	icd10	361194	0	360901	293
F10	categorical	icd10	361194	0	360408	786
M19	categorical	icd10	361194	0	357029	4165
O32	categorical	icd10	361194	0	360524	670
G50	categorical	icd10	361194	0	360982	212
R53	categorical	icd10	361194	0	360376	818
C45	categorical	icd10	361194	0	361044	150
M93	categorical	icd10	361194	0	361091	103
C15	categorical	icd10	361194	0	360675	519
K22	categorical	icd10	361194	0	355700	5494
N85	categorical	icd10	361194	0	359705	1489
M96	categorical	icd10	361194	0	360943	251
T18	categorical	icd10	361194	0	360872	322
H27	categorical	icd10	361194	0	361066	128
L05	categorical	icd10	361194	0	360800	394
D22	categorical	icd10	361194	0	357693	3501
J22	categorical	icd10	361194	0	358054	3140
G43	categorical	icd10	361194	0	360122	1072
F20	categorical	icd10	361194	0	360996	198
J40	categorical	icd10	361194	0	361040	154
M41	categorical	icd10	361194	0	361012	182
R04	categorical	icd10	361194	0	358358	2836
M54	categorical	icd10	361194	0	352833	8361
M47	categorical	icd10	361194	0	359190	2004
N76	categorical	icd10	361194	0	360731	463
H52	categorical	icd10	361194	0	361008	186
